,qus,ans
85,Alpine Magnolia is produced by,Spp Shipbuilding Company Ltd.
86,The headquarter of ENBIO (Ireland) is in,Dublin
87,The native language of Joshua Mather is,English
88,The native language of Luis Velez is,Spanish
89,One Piece Grand Cruise is developed by,"Bandai Namco, Spike Chunsoft"
90,"Pentium4 Xeon 2.8 GHz, Myrinet is produced by",LNXI
91,Agnieszka Kaleta is a citizen of,Poland
92,The native language of Marcus Adams is,English
93,Office Lingerie is developed by,Mink
94,Fritz Grub is a citizen of,Germany
95,Wilhelm Reiners is a citizen of,Germany
96,The headquarter of Maersk (Qatar) is in,"Doha, Qatar"
97,Pop'n music 11 is developed by,"Konami, Bemani"
98,The native language of Pedro Roig is,Spanish
99,The native language of Feng Xi is,Chinese
100,Debshila Basu Mallick is a citizen of,None
101,Star Wars: Super Bombad Racing is developed by,"Lucas Learning, LucasArts"
102,The headquarter of Hyderabad Deccan Cigarette Factory is in,Hyderabad
103,HPC 6000 is produced by,Sun
104,Pentium 4 Cluster 2.4/2.0 GHz is produced by,Selfmade
105,The native language of Wendi Wohltmann is,English
106,The native language of Xianghui Fu is,Chinese
107,SJ Venture is produced by,TITAN QUANZHOU SHIPYARD
108,Maryam Soltani is a citizen of,Iran
109,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR is produced by","IBM, Lenovo"
110,The native language of Byran Rex Brown is,English
111,HPC 4500 333 MHz Cluster is produced by,Sun
112,The headquarter of Compania Electro-Siderurgica e Industrial de Valdivia is in,Valdivia
113,HMS Lark is produced by,"Thomas Pitcher, Northfleet"
114,Oleg N Shishilov is a citizen of,Russia
115,iM1A2 Abrams is developed by,Charybdis Enterprises
116,Yu-Gi-Oh! The Sacred Cards is developed by,Konami
117,The headquarter of Fraport Greece is in,Athens
118,The headquarter of Elixiron Immunotherapeutics (Taiwan) is in,Taipei
119,The headquarter of Esox-Plast (Slovakia) is in,Liptovsky Jan
120,Kingdom Hearts Mobile is developed by,"Square Enix, Disney Mobile"
121,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR is produced by",IBM
122,SunAge is developed by,Vertex4
123,The headquarter of La Chapelle Fashion is in,Shanghai
124,The headquarter of Saare Dolomiit-Väokivi is in,Tallinn
125,Super Mario Bros. & Friends: When I Grow Up is developed by,"Brian A. Rice, Merit Software"
126,Super Smash Bros. for Wii U is developed by,"Bandai Namcro, Nintendo"
127,Pac-Man Arrangement is developed by,"Namco, Mass Media"
128,R. Meera Raj is a citizen of,Unkown
129,The headquarter of Korea Airport Service is in,Seoul
130,Helmut Eimer is a citizen of,Germany
131,The native language of Wang Mingjue is,Chinese
132,The native language of Tabitha A Iseger is,Dutch
133,"Sun Fire V60 2.8 GHz, IBM Netfinity 2 GHz, Myrinet is produced by","IBM, Sun, Myricom"
134,Three Kingdoms: Fate of the Dragon is developed by,"Overmax Studios, Object Software, Limited"
135,P4 Xeon Cluster 2 GHz is produced by,IBM
136,Marleny Figueiredo is a citizen of,Brazil
137,The headquarter of Shanghai Electric Control Research Institute is in,Shanghai
138,Miniature Golf (Atari 2600) is developed by,Atari
139,The headquarter of Tokyo Food is in,Tsubaka
140,HMS M20 is produced by,Sir Raylton Dixon & CO
141,The headquarter of Hyundai Department Store Group is in,Seoul
142,Star Wars Galaxies: Trials of Obi-Wan is developed by,"Sony Online, LucasArts"
143,The native language of Erwin Schütze is,German
144,The native language of Mathias Kupczyk is,German
145,Pro Evolution Soccer 2017 Lite is developed by,"Konami, PES"
146,Thorsten Neumann is a citizen of,Germany
147,Shota Miyaguchi is a citizen of,Japan
148,The native language of Joana Azevedo is,Portuguese
149,The headquarter of Informatica Qatar (Qatar) is in,Qatar
150,Dirk Balmer is a citizen of,Switzerland
151,Adrian Georgescu is a citizen of,Romania
152,The native language of Zhang Zhao is,Chinese
153,The headquarter of Centre du Centre du Cinema et de l'Audiovisuel de la Federation Wallonie-Bruxelles is in,Brussels
154,The native language of Martin Leidenfrost is,German
155,Call of Duty Online is developed by,"Activision, Raven Software"
156,Simona De Vita is a citizen of,Italy
157,SCore II/PIII 800 MHz is produced by,Selfmade
158,The native language of Ike Nelson is,English
159,SuperDome/HyperPlex is produced by,HP
160,Kazimierz Wisniak is a citizen of,Poland
161,The native language of Maureen A Flynn is,English
162,The headquarter of Manila Commodity Exchange is in,Makati
163,Smash Court Tennis Pro Tournament is developed by,Namco
164,The headquarter of Editorial Mexicana de Musica Internacional S.A. de C.V. is in,Coahuila
165,The native language of Raoul Boch is,French
166,Inken Hilgendorf is a citizen of,Germany
167,Final Fantasy VII is developed by,"Square, Square Enix"
168,The native language of Scott Neslin is,English
169,The native language of John C. Carpenter is,English
170,The headquarter of Kenya Commercial Bank Group is in,Nairobi
171,The headquarter of Takeshita Honten is in,Kakeyacho Kakeya
172,Shiro Kobayashi is a citizen of,Japan
173,Isabelle Levesque is a citizen of,Canada
174,SPP1000/XA-64 is produced by,HP
175,Moa Thomasson is a citizen of,Sweden 
176,The headquarter of Davenport Locomotive Works is in,Davenport
177,HPC 450 300 MHz Cluster is produced by,Sun
178,SD Gundam G Generation Overworld is developed by,Bandai Namco
179,USNS Mission San Antonio is produced by,Marinship
180,The headquarter of Scientific Research Institute of Semiconductor Mechanical Engineering (Russia) is in,Voronezh 
181,The native language of Qin Conglong is,Chinese
182,HMS M17 is produced by,"William Gray, Hartlepool"
183,The native language of Gillian Allmond is,English
184,The headquarter of Peppy Pals (Sweden) is in,Stockholm
185,Super Robot Wars is developed by,"Banpresto, Banpresoft, B.B. Studio"
186,SuperDome 750 MHz/HyperPlex is produced by,HP
187,The native language of Emsy Collet is,Danish
188,The native language of Armand-Eustache-Francois Fougeroux de Blaveau is,French
189,Dance Sensation! is developed by,"Alpine Studios, Majesco Entertainment"
190,Netfinity Cluster PIII 1 GHz is produced by,IBM
191,Mega Man II is developed by,Capcom
192,The native language of Micah Dunthorn is,English
193,HPC 10000 400 MHz Cluster is produced by,Sun
194,Gudula Demmelhuber is a citizen of,Germany
195,VPP300/6 is produced by,"Fujitsu, SNI"
196,The headquarter of Gemeentekrediet van Belgie is in,Brussels
197,The headquarter of Anime Pulse is in,Denver
198,The native language of Sarah J. Eddy is,English
199,The headquarter of Universal de Televisión Peru is in,Lima
200,"PowerEdge 1950, Xeon 51xx 3.06 GHz, Infinipath is produced by","Dell, ClusterVision"
201,Dragon Ball Z: Super Saiya Densetsu is developed by,"Bandai, Tose Software"
202,Pro Evolution Soccer 2009 (Ubiquitous evolution) is developed by,Konami
203,The headquarter of Fuji Kosan is in,Tokyo
204,Suzana Tiemi Ivamoto-Suzuki is a citizen of,Brazil
205,Ganesh Singadkar is a citizen of,India
206,Android John 2.1 is developed by,Recreat4
207,Monster Hunter Freedom 2 is developed by,Capcom
208,The headquarter of Van Cimento Sanayii is in,Van
209,Chika Kameda is a citizen of,Japan
210,3rd Super Robot Wars Z is developed by,Banpresto
211,Thea Hanisch-Moll is a citizen of,Germany
212,The native language of Kurt Sommerer is,German
213,Shin Megami Tensei: Persona 3 Portable is developed by,Atlus
214,The native language of Chris McCooey is,English
215,Serapion of Egypt is a citizen of,Egypt
216,HPC 10000 Cluster is produced by,Sun
217,The headquarter of Stavangerflint is in,Stavanger
218,The native language of Pranay Jain is,English
219,The headquarter of VTRON (China) is in,Guangzhou
220,Monster Hunter Generations Ultimate is developed by,Capcom
221,The headquarter of OSR France is in,Unkown
222,Anahita Houshiar Rad is a citizen of,Iran
223,The native language of Georg Püttner is,German
224,The native language of Li Yi is,Chinese
225,The native language of Jose Ferraz Penelas is,Spanish
226,Return of Mario Bros. is developed by,Nintendo
227,Street Fighter Collection 2 is developed by,Capcom
228,The native language of Guo Jin is,Chinese
229,The headquarter of IFPI IFPI Slovenská Republika is in,Ljubljana
230,The headquarter of France-tei is in,Tokyo
231,eServer Blue Gene Solution is produced by,IBM
232,Theodor Hampel is a citizen of,Austrian
233,One Piece: Ocean's Dream! is developed by,"Bandai Namco, 8ing, Q Entertainment"
234,The headquarter of Lucknow-Bareilly Railway is in,India
235,The native language of Li-Chu Chien is,Chinese
236,The headquarter of Roche (South Korea) is in,Seoul
237,Lasse Stadelmann is a citizen of,Germany
238,The native language of Chloe Fisher is,Unkown
239,Mobile Suit Gundam Side Story is developed by,"B.B. Studio, Bandai Namco"
240,Herbert Kraume is a citizen of,Germany
241,The native language of Andrzej Bartkowski is,Polish
242,SuperDome 875 MHz/HyperPlex is produced by,HPE
243,"Cluster Platform 6000 rx2600 Itanium2 1.5 GHz, Quadrics is produced by",HP
244,The native language of Dean Michael Lambert is,English
245,Marco Girasole is a citizen of,Italy
246,Super Mario Bros. Crossover is developed by,Jay Pavlina
247,SPP1000/XA-16 is produced by,HP
248,Front Office Football is developed by,Solecismic Software
249,Star Wars: Pit Droids is developed by,"Lucas Learning, LucasArts"
250,The original language of Beyond The Wakeful Being is,Hungarian
251,The original language of Il mio paese is,Italian
252,The original language of Ausfahrt nach dem Alarm is,German
253,The original language of Mikoe Bappa Baey Baey is,Dhivehi
254,The original language of J'accuse is,French
255,The original language of Diler Jigar is,Hindi
256,The original language of Showa zankyo-den: Ippiki okami is,Japanese
257,The original language of Son Söz Benim is,Turkish
258,The original language of Hoor-e-Baghdad is,Hindi
259,The original language of Kannakkol is,Tamil
260,The original language of Gensyn med Østgrønland... Kirsten Bang is,Danish
261,The original language of Nasha zemya is,Bulgarian
262,The original language of Het geheim van Delft is,Dutch
263,The original language of Mitäs me sankarit is,Finnish
264,The original language of O Trem da Morte is,Portuguese
265,"The original language of Iran: Hot Tea, Cool Conversations is",English
266,The original language of Kasih Sayang is,Indonesian
267,The original language of Bangkok Adrenalin is,"Thai, English"
268,The original language of Pro peníze is,Czech
269,The original language of Majmun u tramvaju is,"Serbian, Croatian"
270,The original language of Needhi Pizhaithadhu is,Tamil
271,The original language of 13 Shades of Romanian is,English
272,The original language of Walang Karugtong Ang Nakaraan is,"Tagalog, Filipino"
273,"The original language of Without Violence (1988), dir. Tamás Csapody, Amateur documentary is",Hungarian
274,The original language of Mardipäev is,Estonian
275,The original language of Chudá holka is,Czech
276,The original language of Pensjonat nad rozlewiskiem is,Polish
277,The original language of Əbədiyyət yolu is,Azerbaijani
278,The original language of Salsa Tel Aviv is,"Spanish, Hebrew"
279,The original language of Gåtan Christer Pettersson is,Swedish
280,The original language of Soul Brothers of Kung Fu is,"Mandarin, English"
281,The original language of Rajwadana Ranga is,Indian
282,The original language of Bhadradri Ramudu is,Telugu
283,The original language of Good Morning Karachi is,Urdu
284,The original language of Trentemøller live in Copenhagen is,Danish
285,The original language of Baji Prabhu Deshpande is,Marathi
286,The original language of Three Contributions to the Slovenian Madness is,Slovenian
287,The original language of Georgian Ancient Songs is,Georgian
288,The original language of Panagoulis Lives is,Italian
289,The original language of Détours is,French
290,The original language of Thunderbolt Jack is,English
291,The original language of The Way We Were is,English
292,The original language of Why America Will Win is,English
293,The original language of Charging Out Amazon is,Chinese
294,The original language of Human Wreckage is,Engish
295,The original language of Hawaiian Nights is,English
296,The original language of It's Bad for Ya is,English
297,The original language of Sono stato negro pure io is,Italian
298,The original language of Getting Out of Bed with Richard Foreman: Love Among the Retro Avant-Garde. is,English
299,The original language of Al-Hamama is,"Arabic, Spanish"
300,Jack Gilbert used to communicate in,English
301,Margot Boer used to communicate in,Dutch
302,Johanna Hurtig used to communicate in,"Finnish, English"
303,Richard Bolt used to communicate in,English
304,Christine M Taylor used to communicate in,English
305,Santiago Sancho used to communicate in,Spanish
306,Alfred Mering used to communicate in,Estonian
307,Richard Hodgson used to communicate in,English
308,Baard Kaalaas used to communicate in,Norwegian
309,Jan Ev. Hulakovsky used to communicate in,Czesh
310,Rudolf Miltner used to communicate in,German
311,Wang Shiding used to communicate in,Chinese
312,Wu Yan used to communicate in,Chinese
313,Adrian West used to communicate in,English
314,Christian Guttmann used to communicate in,"German, English, Swedish"
315,Oliver Schlutz-Bernd used to communicate in,German
316,Ermanno Fasoli used to communicate in,Italian
317,Ursel Schunck used to communicate in,German
318,Jiri Cubuk used to communicate in,Czech
319,David Cooperrider used to communicate in,English
320,Lisa Hobbs used to communicate in,English
321,Caroline Freund used to communicate in,English
322,Roy Ramsay used to communicate in,English
323,Hannah Lount used to communicate in,English
324,Ronald Leslie-Melville used to communicate in,English
325,N. Kennedy used to communicate in,English
326,Dennys Bornhöft used to communicate in,German
327,Sanna Torvinen-Kiiskinen used to communicate in,"Finnish, English, Swedish"
328,Beatriz Bermudez de Velasco used to communicate in,Spanish
329,Robert Lane used to communicate in,English
330,Ulrich Burchard used to communicate in,German
331,Gottfried George Mylich used to communicate in,"German, Latvian"
332,Amy Tucker used to communicate in,English
333,Bu Zhou used to communicate in,Chinese
334,Berend Roorda used to communicate in,Dutch
335,Ian Desmond Curry-Towneley-O'Hagan used to communicate in,English
336,Knut Kvernebo used to communicate in,"Norwegian, English"
337,Tomitaro Karasawa used to communicate in,Japanese
338,Stephen I of Constantinople used to communicate in,Latin
339,Francis Jesson used to communicate in,English 
340,Rudolf Kempf used to communicate in,German
341,Johannes Ehrhardt used to communicate in,German
342,Eleanor Jane Faulder used to communicate in,English
343,Emma Becker used to communicate in,Latvian
344,Hayato Mizowaki used to communicate in,Japanese
345,Katsushi Murata used to communicate in,Japanese
346,Jose Leija-Martinez used to communicate in,English
347,Cheng Zun used to communicate in,Chinese
348,Monina Bagatsing used to communicate in,English
349,Fürstin Sophia Margaretha von Anhalt used to communicate in,German
