,qus,ans
121,"What is Harold Lever, Baron Lever of Manchester's occupation?",politician
122,What is Peter Murnoy's occupation?,politician
123,What is Spencer Williams's occupation?,pianist
124,What is Richard Lui's occupation?,journalist
125,What is Charlotte von Hagn's occupation?,actor
126,What is James M. Geraghty's occupation?,politician
127,What is Michael Hutchings's occupation?,chef
128,What is Gideon Olin's occupation?,politician
129,What is Cecil Aldin's occupation?,illustrator
130,What is Malcolm David Kelley's occupation?,actor
131,What is James Alex Msekela's occupation?,politician
132,What is Nancy Landon Kassebaum's occupation?,politician
133,What is Reinhold Mack's occupation?,composer
134,What is Del Quentin Wilber's occupation?,journalist
135,What is Pierre Pansu's occupation?,mathematician
136,What is Larry Coon's occupation?,computer scientist
137,What is Masayoshi Nataniya's occupation?,politician
138,What is Leonida Tonelli's occupation?,mathematician
139,What is Judith Rakers's occupation?,journalist
140,What is Hiroyuki Arai's occupation?,politician
141,What is Ernst Timme's occupation?,farmer
142,What is Bill Kintner's occupation?,politician
143,What is Francesco Vettori's occupation?,diplomat
144,What is Melinda Mullins's occupation?,actor
145,What is Tachibana no Moroe's occupation?,poet
146,What is Susan Kent's occupation?,actor
147,What is Meyer Lutz's occupation?,composer
148,What is Ludwig Lichtschein's occupation?,rabbi
149,What is Will Smith's occupation?,film producer
150,What is Marjorie Margolies-Mezvinsky's occupation?,politician
151,What is Władysław Sławny's occupation?,photographer
152,What is Pierre Chatenet's occupation?,politician
153,What is Friedrich Carl von Savigny's occupation?,jurist
154,What is Luciano Vincenzoni's occupation?,screenwriter
155,What is Thandiswa Mazwai's occupation?,songwriter
156,What is Ameer Sultan's occupation?,film director
157,What is Wenceslao Vinzons's occupation?,politician
158,What is Maurizio Belpietro's occupation?,journalist
159,What is Dash's occupation?,record producer
160,What is Baton Haxhiu's occupation?,journalist
161,What is Johnson's occupation?,composer
162,What is Samuel Wells Williams's occupation?,missionary
163,What is Walter Köbel's occupation?,politician
164,What is Debbie Johnson's occupation?,politician
165,What is John Scurti's occupation?,actor
166,What is John Barnes's occupation?,monk
167,What is Kekko Fornarelli's occupation?,composer
168,What is T Power's occupation?,record producer
169,What is Adil Shamoo's occupation?,biochemist
170,What is Patrick Mulvany's occupation?,politician
171,What is Graham Collier's occupation?,bandleader
172,What is Arcangelo Ghisleri's occupation?,journalist
173,What is Carlos María Ramírez's occupation?,politician
174,What is Tina Sloan's occupation?,actor
175,What is Andrew Trischitta's occupation?,actor
176,What is Gerard Kennedy's occupation?,actor
177,What is Giora Godik's occupation?,impresario
178,What is Lillian Lawrence's occupation?,actor
179,What is Philip Rosenberg's occupation?,production designer
180,What is Sudarshan Faakir's occupation?,lyricist
181,What is Shonali Bose's occupation?,film director
182,What is Bruce Cockburn's occupation?,composer
183,What is Archibald Thomas Pechey's occupation?,lyricist
184,What is Thomas Challis's occupation?,politician
185,What is Mariana Vicente's occupation?,actor
186,What is Huntington Wilson's occupation?,diplomat
187,What is Gaziza Zhubanova's occupation?,composer
188,What is Ek Yi Oun's occupation?,politician
189,What is Benjamin Mount's occupation?,record producer
190,What is Ivan Mládek's occupation?,composer
191,What is Bala's occupation?,film director
192,What is Steve Tom's occupation?,actor
193,What is Ilja Rosendahl's occupation?,actor
194,What is Ron Nyswaner's occupation?,film director
195,What is Thanasis Pafilis's occupation?,politician
196,What is Nicholas Sanduleak's occupation?,astronomer
197,What is Christopher Butson's occupation?,priest
198,What is Otto Frankel's occupation?,geneticist
199,What is Hate Man's occupation?,philosopher
200,What is Rich Brightman's occupation?,singer-songwriter
201,What is Mr. Porter's occupation?,record producer
202,What is Felix Walker's occupation?,politician
203,What is Javad Maroufi's occupation?,composer
204,What is Franz Seitz Sr.'s occupation?,screenwriter
205,What is Chris Jericho's occupation?,actor
206,What is Frederick Dundas's occupation?,politician
207,What is Aim's occupation?,disc jockey
208,What is Nadia Giosia's occupation?,actor
209,"What is Adele Capell, Countess of Essex's occupation?",socialite
210,What is Edward Francis Hutton's occupation?,financier
211,What is Kanye West's occupation?,record producer
212,What is Hawthorne James's occupation?,actor
213,What is Sırrı Süreyya Önder's occupation?,screenwriter
214,What is Edward Norton's occupation?,politician
215,What is Linden Ashby's occupation?,actor
216,What is Lord Frederick Spencer Hamilton's occupation?,politician
217,What is Ann Friedman's occupation?,journalist
218,What is Olav T. Laake's occupation?,politician
219,What is Carolyn Eisele's occupation?,mathematician
220,What is Jonathan Le Billon's occupation?,actor
221,What is Mildred Okwo's occupation?,film director
222,What is Eliza Lawrence's occupation?,politician
223,What is Charles Combe's occupation?,physician
224,What is GQ's occupation?,actor
225,What is John D. Maurice's occupation?,journalist
226,What is Harvey Benge's occupation?,photographer
227,What is William Greaves's occupation?,film director
228,What is David Joyce's occupation?,politician
229,What is Emmanuel Nnamdi Uba's occupation?,politician
230,What is Zhu Houren's occupation?,actor
231,What is Ayumi Hamasaki's occupation?,lyricist
232,What is Kristina Lugn's occupation?,playwright
233,What is Luca Coscioni's occupation?,politician
234,What is Raymond S. Burton's occupation?,politician
235,What is Beth Hart's occupation?,singer-songwriter
236,What is Benazir Bhutto's occupation?,politician
237,What is Alan Huckle's occupation?,diplomat
238,What is Gunnar Uldall's occupation?,politician
239,What is Vishwanath Rao Ringe's occupation?,composer
240,What is Alfred Mombert's occupation?,poet
241,What is Famke Janssen's occupation?,actor
242,What is Sylwester Braun's occupation?,photographer
243,What is Jack Mackenzie's occupation?,civil engineer
244,What is Kiko Mizuhara's occupation?,actor
245,What is Michael Radford's occupation?,screenwriter
246,What is Henry Campbell-Bannerman's occupation?,diplomat
247,What is Robert Voisey's occupation?,composer
248,What is Richard Vaughan's occupation?,bishop
249,What is Brian Eno's occupation?,composer
250,What is Ernst Theodor Echtermeyer's occupation?,philosopher
251,What is Felicia Chateloin's occupation?,architect
252,What is Debra Weeks's occupation?,journalist
253,What is Bedřich Feigl's occupation?,graphic designer
254,What is Richard Marles's occupation?,politician
255,What is Burna Boy's occupation?,songwriter
256,What is Michael Costa's occupation?,composer
257,What is Edward F. Cox's occupation?,politician
258,What is Sven Alkalaj's occupation?,diplomat
259,What is Glenn Gould's occupation?,composer
260,What is Alex Reid's occupation?,actor
261,What is Isabelle Adriani's occupation?,journalist
262,What is Edward Gunasekara's occupation?,politician
263,What is David M. Westcott's occupation?,politician
264,What is Carl Linnaeus's occupation?,physician
265,What is Firaq Gorakhpuri's occupation?,poet
266,What is Gordie Gosse's occupation?,politician
267,What is Nenad Popović's occupation?,politician
268,What is Björn Böhning's occupation?,politician
269,What is Frederick Berry's occupation?,politician
270,What is Susan Soltero's occupation?,journalist
271,What is Joseph R. Perella's occupation?,financier
272,What is Stanley Peiris's occupation?,composer
273,What is P. Palaniappan's occupation?,politician
274,What is Alice's occupation?,singer-songwriter
275,What is J. Da Silva's occupation?,cricket umpire
276,What is Carsten Carlsen's occupation?,pianist
277,What is Josh Mankiewicz's occupation?,journalist
278,What is Shiva Nageswara Rao's occupation?,film director
279,What is Abdirizak Haji Hussein's occupation?,diplomat
280,What is Fritz Goos's occupation?,astronomer
281,"What is Charles A. Gillespie, Jr.'s occupation?",diplomat
282,What is Tharman Shanmugaratnam's occupation?,politician
283,What is Alexander Gadolin's occupation?,politician
284,What is Levi P. Powers's occupation?,politician
285,What is Kamya Panjabi's occupation?,actor
286,What is Robert Gwilym's occupation?,actor
287,What is Min's occupation?,actor
288,What is John Strange's occupation?,diplomat
289,What is Everley Gregg's occupation?,actor
290,What is Ruby Rose's occupation?,disc jockey
291,What is Meg McCall's occupation?,politician
292,What is Walter de la Pole's occupation?,politician
293,What is Todd Verow's occupation?,actor
294,What is Kyaw Swe's occupation?,film director
295,What is Guillaume du Tillot's occupation?,politician
296,What is James J. Gibson's occupation?,psychologist
297,What is Edwin H. Knopf's occupation?,film producer
298,What is Apurba Kishore Bir's occupation?,cinematographer
299,What is Prince Radu of Romania's occupation?,actor
300,What is Tatiana Doronina's occupation?,actor
301,What is Havergal Brian's occupation?,composer
302,What is Marina Baker's occupation?,Playboy Playmate
303,What is Naathan Phan's occupation?,actor
304,What is Paul Caillaud's occupation?,politician
305,What is Rusty Willoughby's occupation?,songwriter
306,What is Matthew Underwood's occupation?,actor
307,What is George Washington Owen's occupation?,politician
308,What is Ebenezer Webster's occupation?,politician
309,What is Bridie O'Flaherty's occupation?,politician
310,What is John Jay's occupation?,diplomat
311,What is Ivan Kulichenko's occupation?,politician
312,What is Christopher Beazley's occupation?,politician
313,What is Christine Juarbe's occupation?,model
314,What is Olivier Alary's occupation?,composer
315,What is Giuseppe Demachi's occupation?,composer
316,What is Affonso Beato's occupation?,cinematographer
317,What is Scott Z. Burns's occupation?,screenwriter
318,What is Vanessa Angel's occupation?,actor
319,What is Atsushi Kaneko's occupation?,mangaka
320,What is William Molyneux's occupation?,astronomer
321,What is Richard Faith's occupation?,composer
322,What is E. David Redwine's occupation?,politician
323,What is Kyriakos Mavronikolas's occupation?,politician
324,"What is John Blake, Jr.'s occupation?",politician
325,What is Amitabh Bachchan's occupation?,film producer
326,What is Mami Matsui's occupation?,seiyū
327,What is Marie-France Mignal's occupation?,actor
328,What is Chiara Zanni's occupation?,voice actor
329,What is P. J. Moloney's occupation?,politician
330,What is Andreas Rüdiger's occupation?,philosopher
331,What is Robert Lewis's occupation?,politician
332,What is Arthur W. Rice's occupation?,architect
333,What is Richard Franck's occupation?,composer
334,What is Guillem Ramon de Gironella's occupation?,troubadour
335,What is Dima Grigoriev's occupation?,mathematician
336,What is Grace Frankland's occupation?,microbiologist
337,What is Hermann Ahlwardt's occupation?,journalist
338,What is Alexandre Bóveda's occupation?,politician
339,What is Paddy Mullins's occupation?,horse trainer
340,What is Alan Mauritz Swanson's occupation?,composer
341,What is Harvey William Burk's occupation?,politician
342,What is Richard Sandrak's occupation?,actor
343,What is Amin Amidu Sulemana's occupation?,diplomat
344,What is Jim Boyd's occupation?,actor
345,What is Nosrat Karimi's occupation?,actor
346,What is Ashlie Walker's occupation?,actor
347,What is Jörg A. Eggers's occupation?,screenwriter
348,What is Duilio Forte's occupation?,architect
349,What is Petru Vlah's occupation?,politician
350,What is Richard Howland Hunt's occupation?,architect
351,What is Giovanni Grasso's occupation?,actor
352,What is Adam Darr's occupation?,composer
353,What is Pierre Abraham's occupation?,journalist
354,What is Paul Lieber's occupation?,actor
355,What is Rumi's occupation?,poet
356,What is Bernard Peiffer's occupation?,pianist
357,What is Elvin Penner's occupation?,politician
358,What is Keiko Aizawa's occupation?,actor
359,What is Rodrigo Arocena's occupation?,mathematician
360,What is Robert Florey's occupation?,screenwriter
361,What is Petros Efthymiou's occupation?,politician
362,What is Fidel Antuña Batista's occupation?,politician
363,What is Billy Flynn's occupation?,actor
364,What is Şefik Birkiye's occupation?,architect
365,What is Isobel Pravda's occupation?,actor
366,What is Natasha Leggero's occupation?,actor
367,What is Dorothy Hewett's occupation?,playwright
368,"What is William Phillips, Sr.'s occupation?",politician
369,What is Michael Jackson's occupation?,actor
370,What is Rodrigo Cortés's occupation?,screenwriter
371,What is Richard Rishi's occupation?,actor
372,What is Seungri's occupation?,actor
373,What is Toni Jennings's occupation?,politician
374,What is Switch's occupation?,disc jockey
375,What is Thomas Gifford's occupation?,politician
376,What is DM Sevilla's occupation?,actor
377,What is Sardar Muhammad Yousaf Zaman's occupation?,politician
378,What is Jaclyn Stapp's occupation?,model
379,What is Thomas Jefferson Kaye's occupation?,singer-songwriter
380,What is Pietro Marcenaro's occupation?,politician
381,What is William Australia Graham's occupation?,politician
382,What is Gino Coppedè's occupation?,architect
383,What is Richard Myers's occupation?,songwriter
384,What is Robert Carson's occupation?,actor
385,What is Conrad Weiser's occupation?,diplomat
386,What is Paul Hindemith's occupation?,composer
387,What is Carlo Giustini's occupation?,actor
388,What is Alfredo Narciso's occupation?,actor
389,What is Lindsay Ellingson's occupation?,model
390,What is Shelley Wark-Martyn's occupation?,politician
391,What is José Feliciano's occupation?,composer
392,What is Hugo Becker's occupation?,actor
393,What is Frits Castricum's occupation?,politician
394,What is John Bell's occupation?,surgeon
395,What is David Sharp's occupation?,physician
396,What is Galina Starovoytova's occupation?,politician
397,What is Per Risvik's occupation?,politician
398,What is Eleanor Yule's occupation?,film director
399,What is Claire Adams's occupation?,actor
400,What is Agneta Bolme Börjefors's occupation?,journalist
401,What is Lothrop Stoddard's occupation?,journalist
402,What is G.E.M.'s occupation?,singer-songwriter
403,What is Larry Sitsky's occupation?,pianist
404,What is Brigitte Bardot's occupation?,actor
405,What is Alexander Bogdanov's occupation?,economist
406,What is Chris Lang's occupation?,actor
407,What is Pamela Winslow's occupation?,actor
408,What is Alan Bjerga's occupation?,journalist
409,What is Tadhg Dall Ó hUiginn's occupation?,poet
410,What is Leigh Whannell's occupation?,screenwriter
411,What is Yannis Ritsos's occupation?,poet
412,What is Andy C's occupation?,record producer
413,What is Frequency's occupation?,record producer
414,What is Zoran Rankić's occupation?,actor
415,What is Chitra Bahadur K.C.'s occupation?,politician
416,What is Ski Beatz's occupation?,record producer
417,What is Siegfried Czapski's occupation?,physicist
418,What is George Minor's occupation?,composer
419,What is Lord George Hamilton's occupation?,politician
420,What is Mariángel  Carolina Ruiz Diaz's occupation?,model
421,What is Michael Shelley's occupation?,singer-songwriter
422,What is Anjali Sudhakar's occupation?,actor
423,What is Greg Miller's occupation?,cartoonist
424,What is Rose Beaudet's occupation?,actor
425,What is Jean Gabriel Marie's occupation?,composer
426,What is Ava Deluca-Verley's occupation?,actor
427,What is Sayaka Ichii's occupation?,actor
428,What is George Birnie Esslemont's occupation?,politician
429,What is Tiffany Pollard's occupation?,actor
430,What is Shorty Hamilton's occupation?,actor
431,What is Ajay Kumar Parida's occupation?,biologist
432,What is Baruch Steinberg's occupation?,rabbi
433,What is Charles Martin Smith's occupation?,actor
434,What is Bobby Henon's occupation?,politician
435,What is Erwin Schulhoff's occupation?,composer
436,What is A. Lawrence Kocher's occupation?,architect
437,What is John Andrew Martin's occupation?,lawyer
438,What is Salvador Allende's occupation?,politician
439,What is Nandor Balazs's occupation?,physicist
440,What is Maurice Le Boucher's occupation?,composer
441,What is T. P. Poonatchi's occupation?,politician
442,What is Joni Jenkins's occupation?,politician
443,What is Martin Shapiro's occupation?,screenwriter
444,What is Gabriel Gonsum Ganaka's occupation?,priest
445,What is Max Fechner's occupation?,politician
446,What is Augustine Steward's occupation?,politician
447,What is Andrew Ure's occupation?,chemist
448,What is Guy Joseph Bonnet's occupation?,major general
449,What is Rhea Silvia's occupation?,Vestal Virgin
450,What is Jason Reitman's occupation?,screenwriter
451,What is Lewis J. Rachmil's occupation?,film producer
452,What is René Bégin's occupation?,politician
453,What is Johann Heinrich Lambert's occupation?,mathematician
454,What is Robert Jonckheere's occupation?,astronomer
455,What is Klaus Rainer Röhl's occupation?,journalist
456,What is Yuki Kaida's occupation?,seiyū
457,What is Tracy Coogan's occupation?,actor
458,What is Arafan Camara's occupation?,politician
459,What is George Lewis's occupation?,politician
460,What is Louis O'Dea's occupation?,politician
461,What is Mohamed Bazoum's occupation?,politician
462,What is Dennis Rodman's occupation?,actor
463,What is Guo Gengmao's occupation?,politician
464,What is Derek Ingram Hill's occupation?,priest
465,What is Jacques Monasch's occupation?,politician
466,What is Sebaki Devi Das Tatma's occupation?,politician
467,What is Robert Antoine's occupation?,missionary
468,What is Howard Fowles's occupation?,politician
469,What is Seif Sharif Hamad's occupation?,politician
470,What is Fernanda Vasconcellos's occupation?,actor
471,What is Julia de Asensi's occupation?,journalist
472,What is Đurđa Ivezić's occupation?,actor
473,What is Rick Wilson's occupation?,farmer
474,"What is John Campbell, 3rd Earl of Breadalbane and Holland's occupation?",diplomat
475,What is Ya'akov Ahimeir's occupation?,journalist
476,What is Jean-Baptiste de Lamarck's occupation?,biologist
477,What is James Anderson's occupation?,physician
478,What is Jeet Ganguly's occupation?,composer
479,What is Žarko Petan's occupation?,film director
480,What is Akimasa Nakamura's occupation?,astronomer
481,What is Thomas Widdrington's occupation?,politician
482,What is Will Smith's occupation?,screenwriter
483,What is Jean-Marie-Victor Viel's occupation?,architect
484,What is Eckart von Hirschhausen's occupation?,physician
485,What is Enos Thompson Throop's occupation?,diplomat
486,What is Ali Hillis's occupation?,actor
487,What is Dinesh Singh's occupation?,politician
488,What is Virginia Haviland's occupation?,librarian
489,What is Val McLane's occupation?,actor
490,What is Heinrich Hofmann's occupation?,composer
491,What is Frances Josephy's occupation?,politician
492,What is Pyotr Lavrov's occupation?,philosopher
493,What is Uri Nakayama's occupation?,hairdresser
494,What is Edward Drinker Cope's occupation?,geologist
495,What is Edwin N. Hubbell's occupation?,politician
496,What is Donald Trump's occupation?,real estate development
497,What is John Williams Tobey's occupation?,architect
498,What is Ivan III Drašković's occupation?,politician
499,What is Michael's occupation?,priest
500,What is Jorge Traverso's occupation?,journalist
501,What is Peter's occupation?,actor
502,What is Mariví Bilbao's occupation?,actor
503,What is Mark T. Vande Hei's occupation?,astronaut
504,What is Dick Rude's occupation?,actor
505,What is Robert D. Cardona's occupation?,animator
506,What is Michael Lynton's occupation?,chief executive officer
507,What is Harding of Bristol's occupation?,magistrate
508,What is Brent Huff's occupation?,film director
509,What is Gina Krog's occupation?,politician
510,What is Arkady Chernetsky's occupation?,politician
511,What is Shirley Palmer's occupation?,actor
512,What is Paolo Pellizzari's occupation?,photographer
513,What is G. Karunakara Reddy's occupation?,politician
514,What is Petr Mlsna's occupation?,politician
515,What is Neville Ashenheim's occupation?,politician
516,What is Billy Joel's occupation?,singer-songwriter
517,What is Nina Varlamova's occupation?,politician
518,What is Ruth Harriet Louise's occupation?,photographer
519,What is Lorena Corona Valdés's occupation?,politician
520,What is Darrell Hammond's occupation?,actor
521,What is Bedřich Smetana's occupation?,pianist
522,"What is Sir Thomas Clarges, 3rd Baronet's occupation?",politician
523,What is Donald Robert Macgregor's occupation?,politician
524,What is Jari Porttila's occupation?,journalist
525,What is David J. Brown's occupation?,computer scientist
526,What is Claudio Naranjo's occupation?,psychiatrist
527,What is Eric Flynn's occupation?,actor
528,What is Honor Harger's occupation?,curator
529,What is Clement Baker's occupation?,politician
530,What is Alleppey Vincent's occupation?,actor
531,What is Mike Flanagan's occupation?,screenwriter
532,In what city was Belarmino Mario Chipongue born?,Lubango
533,In what city was Antoine Richard born?,Fontainebleau
534,In what city was Sigrid D. Peyerimhoff born?,Rottweil
535,In what city was Charles Hammock born?,Philadelphia
536,In what city was Izhar Elias born?,Amsterdam
537,In what city was Karim Abdel Aziz born?,Cairo
538,In what city was Petru Stoianov born?,Vinga
539,In what city was Rafael Reyes born?,Cotija de la Paz
540,In what city was Raju Kaji Shakya born?,Dharan
541,In what city was Lance Hooper born?,Palmdale
542,In what city was Jerrold Katz born?,"Washington, D.C."
543,In what city was Roger McCardell born?,Baltimore County
544,In what city was Alastair Heathcote born?,Athens
545,In what city was Antonio Calcagni born?,Recanati
546,In what city was William Marshall Craig born?,Manchester
547,In what city was Philipp Crone born?,Cologne
548,In what city was I.P. Paul born?,Thrissur
549,In what city was Danie Mellor born?,Mackay
550,In what city was Constantine of Kostenets born?,Kostenets
551,In what city was Endre Bálint born?,Budapest
552,In what city was Aleksandr Nekrasov born?,Moscow
553,In what city was Charles Joseph Bonaparte born?,Baltimore
554,In what city was Shahrzad Sepanlou born?,Tehran
555,In what city was Louis François Antoine Arbogast born?,Mutzig
556,In what city was Maria Wetterstrand born?,Eskilstuna
557,In what city was Austin Cuvillier born?,Quebec City
558,In what city was Eduard Bargheer born?,Finkenwerder
559,In what city was Neophyte of Bulgaria born?,Sofia
560,In what city was Andrian Mardiansyah born?,Indonesia
561,In what city was Bert Myers born?,Frederick
562,In what city was Scott Fraser born?,Edinburgh
563,In what city was Dakota Collins born?,Santa Barbara
564,In what city was Giuseppe Castelli born?,Milan
565,In what city was Johann Christian Brand born?,Vienna
566,In what city was Jacob Duck born?,Utrecht
567,In what city was Darley Waddilove born?,Boroughbridge
568,In what city was Harold Reetz born?,Watseka
569,In what city was Parnelli Jones born?,Texarkana
570,In what city was Fernand Cornez born?,Paris
571,In what city was Volodymyr O. Kravets born?,Cherkasy Oblast
572,In what city was Jack Culcay-Keth born?,Ambato
573,In what city was Yinka Ayenuwa born?,Warri
574,In what city was Chris Brown born?,Tappahannock
575,In what city was Phil Williams born?,Birkenhead
576,In what city was Samantha James born?,Los Angeles
577,In what city was James M. Bingham born?,Perry
578,In what city was Jack Kachkar born?,Damascus
579,In what city was Gustavo Grondona born?,Buenos Aires
580,In what city was Bob Geddins born?,Texas
581,In what city was Ferenc Paragi born?,Budapest
582,In what city was Bastien Lecouffe-Deharme born?,Vannes
583,In what city was Brent Maddock born?,United States of America
584,In what city was Betty Francisco born?,Little Rock
585,In what city was Hans-Jörg Voigt born?,Dresden
586,In what city was Charlie Davis born?,New York City
587,In what city was V. S. Srinivasa Sastri born?,Valangaiman
588,In what city was Yuriy Vernydub born?,Zhytomyr
589,In what city was Markus Ragger born?,Klagenfurt
590,In what city was Marnus Labuschagne born?,Klerksdorp
591,In what city was Leslie Douglas Jackson born?,Brisbane
592,In what city was Ricardo Maliandi born?,La Plata
593,In what city was Alfred Jefferis Turner born?,Guangzhou
594,In what city was Ernest Willows born?,Cardiff
595,In what city was Afonso II of Portugal born?,Coimbra
596,In what city was Derek Lamb born?,London
597,In what city was Andranik Migranyan born?,Yerevan
598,In what city was Runa Akiyama born?,Tokyo
599,In what city was Annika Billstam born?,Uppsala
600,In what city was Suad Nasr born?,Cairo
601,In what city was Jason Bourque born?,Vancouver
602,In what city was Kurt Baschwitz born?,Offenburg
603,In what city was Camillo Benso di Cavour born?,Turin
604,In what city was Beniamino Di Giacomo born?,Porto Recanati
605,In what city was Tim Alexander born?,Chertsey
606,In what city was Léopold Robert born?,La Chaux-de-Fonds
607,In what city was Eric Defoort born?,Ypres
608,In what city was Reinaldo Dalcin born?,Canoas
609,In what city was Wang Yaping born?,Yantai
610,In what city was Bob Cremins born?,Pelham Manor
611,In what city was Léon-Lévy Brunswick born?,Paris
612,In what city was David Oppenheim born?,Calabasas
613,In what city was Juan Luis Guerra born?,Santo Domingo
614,In what city was Luis Reece born?,Taunton
615,In what city was Jaswant Singh of Marwar born?,Jodhpur
616,In what city was Eduardo Gudiño Kieffer born?,Esperanza
617,In what city was Greg Windsperger born?,Minneapolis
618,In what city was Nelson Vargas born?,Holyoke
